City,ID,Country,Region,Remapped Category,Title - value,Establishment,Description,Address,Source_ID,Coordinates,Google_place_id
New York City,A0228,USA,Americas,Attraction,QC NY Spa,QC NY Spa,Spa on Governors Island with heated outdoor pools facing the skyline.,Governors Island NY 10004[12],,,ChIJxY2Dk9ZhwokR12iE9G0-2l0
New York City,A0229,USA,Americas,Attraction,Sleep No More,Sleep No More,The original immersive theatre experience; catch it before it closes (extended).,530 W 27th St NY 10001,,,ChIJL_c15fVXwokRLF35F1lR8oI
London,A0146,UK,Western Europe,Pub,The Devonshire,The Devonshire,Soho pub famous for Guinness and wood-fired dining.,17 Denman St London W1D 7HW,[2],,ChIJ9e5tFv8adkgR6YqN8Wc3tS4
London,A0147,UK,Western Europe,Restaurants,Zephyr,Zephyr,Buzzy Greek spot in Notting Hill with a downstairs bar.,100 Portobello Rd London W11 2QD,[2],,
Prague,A0265,Czech Republic,Central Europe,Restaurants,Dine at industrial-chic Eatery.,The Eatery,Industrial-chic dining with open kitchen.,U Uranie 18 170 00 Praha 7,[17],,ChIJEb8Ld0cEc0YRl7d8I6f0b4o
Prague,A0266,Czech Republic,Central Europe,Restaurants,Pilsner Urquell immersive tour,Lokál Dlouhááá,Classic beer hall with tank Pilsner.,Dlouhá 33 110 00 Staré Město,[17],"50.08986 N, 14.42398 E",
Marrakech,A0170,Morocco,Emerging & Eastern,Attraction,Desert sunset dinner and show,Agafay Desert Dinner,Sunset dining in the stone desert; luxury camps like Inara Camp.,Agafay Desert Marrakech,,"31.4111 N, 7.9547 W",ChIJL2_3j5wcrw0RE6J5wI7S6I4
Moscow,A0219,Russia,Emerging & Eastern,Hotel,Design hotel stay in Moscow,Richter Hotel,Design hotel in a 19th-century mansion; features a library and print shop.,Pyatnitskaya St 42 119017 Moscow[20],,,ChIJq55WjNFWlEYR1v73sQ5tY5w
Amsterdam,A0015,Netherlands,Western Europe,Restaurants,Dine at French Bistrot Neuf.,Neuf,Rebranded classic in Jordaan offering modern French menus.,Haarlemmerstraat 9 1013 EH Amsterdam,[3][4],"52.37877 N, 4.88725 E","=AI(""find the google_place_id of Neuf, Amsterdam."")"
Berlin,A0051,Germany,Central Europe,Restaurants,Dine at Two-Star Tim Raue,Tim Raue,Asian-inspired fine dining (Two Michelin Stars).,Rudi-Dutschke-Straße 26 10969 Berlin,[16][6],,ChIJUYyVvSReUEYRCXmH9tK-o8Y
Berlin,A0050,Germany,Central Europe,Restaurants,Dine in a former prison,Lovis,Contemporary cuisine in a former prison.,Pannierstraße 24 12047 Berlin,[16][6],"52.50239 N, 13.43577 E",
Istanbul,A0125,Turkey,Emerging & Eastern,Restaurants,Dining at Michelin-star Arkestra,Arkestra,Michelin-starred restaurant in a 1960s villa.,Dilhayat Sk. No:28 Etiler 34337,[24],,ChIJq55mJt9WVkYRW17rYl5YhBw
Barcelona,A0037,Spain,Southern Europe,Restaurants,Dinner at Berbena in Gràcia.,Berbena,Seasonal Mediterranean dining in Gràcia.,C/ de Minerva 6 08006 Barcelona,[10],,ChIJ9e5-9WbJxkcR53x5Q8D7u-I
Athens,A0025,Greece,Southern Europe,Restaurants,"Dinner, wine, and vinyl in Athens",Pharaoh,Wood-fired cooking and jazz in Exarchia.,Solomou 54 10682 Athens,[13],"37.98972 N, 23.73361 E",
Athens,A0021,Greece,Southern Europe,Attraction,Drink an 'Aegean Negroni' at The Clumsies.,The Clumsies,Consistently voted top 5 bars globally; famous for 'Aegean Negroni'.,Praxitelous 30 105 61 Athina[8],,,ChIJ95Y9iGjXxkcRNx11778C2pE
Amsterdam,A0010,Netherlands,Western Europe,Restaurants,Share Mediterranean-Turkish plates at Esra.,Roef,Small bites and sharing plates like Asian oysters and Tomapork.,Middenweg 35 1098 AB Amsterdam,[3][4],,ChIJ9318qNnOyEcR8P24k6mK7hM
Amsterdam,A0011,Netherlands,Western Europe,Restaurants,Eat authentic hand-pulled noodles.,Jinweide,Authentic hand-pulled noodles with open kitchen.,Hobbemakade 63 1071 XL Amsterdam,[5][4],,Generating formulas is not supported. Please use the Gemini side panel instead.
Paris,A0251,France,Western Europe,Experience,Experience Minimalist Japanese Tea Salon.,Ogata,Minimalist Japanese tea salon restaurant and boutique.,16 Rue Debelleyme 75003 Paris,[1],"48.8582 N, 2.3387 E",ChIJq5r3c1135kcR9_7qL2o2s10
Amsterdam,A0012,Netherlands,Western Europe,Restaurants,Eat authentic Chongqing hotpot,Peijie Hotpot,Authentic Chongqing hotpot with beef tallow broth.,Zeedijk 57 1012 AS Amsterdam,[3][4],"52.37500 N, 4.89670 E",Generating formulas is not supported. Please use the Gemini side panel instead.
Dublin,A0100,Ireland,Western Europe,Restaurants,Seasonal open-fire dining.,Variety Jones,Open fire cooking with seasonal produce.,78 Thomas St Dublin 8,[6][7],,
Dublin,A0101,Ireland,Western Europe,Restaurants,Tapas and Mains at Uno Mas,Uno Mas,Spanish-inspired tapas and creative mains.,6 Aungier St Dublin 2,[6][7],,
Edinburgh,A0108,UK,Western Europe,Hotel,360-degree rooftop views at W.,W Edinburgh,The 'Ribbon Hotel' opened late 2024; futuristic design with 360-degree rooftop deck.,1 St James Square Edinburgh EH1 3AX,,,Generating formulas is not supported. Please use the Gemini side panel instead.
Barcelona,A0040,Spain,Southern Europe,Restaurants,High-end Izakaya Fusion Dinner.,Alapar,High-end Japanese-Mediterranean fusion izakaya.,C/ de Lleida 5 08004 Barcelona,[10],,ChIJq-D7F2-ayUwRW2q_5f-rJ70
Barcelona,A0036,Spain,Southern Europe,Hotel,Rooftop BBQ and local vibes,Casa Bonay,Restored 19th-century mansion with a local-first vibe and rooftop BBQ.,Gran Via de les Corts Catalanes 700 08010 Barcelona,,,ChIJA2Y0-x7JxkcRxXQ2O8K1k6o
Moscow,A0217,Russia,Emerging & Eastern,Attraction,Experience historic Russian steam baths,Sanduny Banya,The oldest and most famous bathhouse; opulent 19th-century interiors.,Neglinnaya St 14 107031 Moscow[20],,,ChIJq556_8xWVkYRS17rYl5YhBw
Moscow,A0218,Russia,Emerging & Eastern,Attraction,Underground Metro Tour,Underground Metro Tour,Explore the 'Palaces of the People'; Mayakovskaya and Komsomolskaya stations.,Moscow Metro[20],,,
Rome,A0278,Italy,Southern Europe,Restaurants,Da Enzo al 29,Da Enzo al 29,Classic trattoria in Trastevere.,Via dei Vascellari 29 00153 Roma,[10],,ChIJq55mJt9WVkYRW17rYl5YhBw
Montreal,A0210,Canada,Americas,Restaurants,Le Violon,Le Violon,Trendy spot by Danny Smiles in the Plateau.,Plateau Mont-Royal Montréal,[23],,
Montreal,A0211,Canada,Americas,Restaurants,Breakfast at Olive et Gourmando.,Olive et Gourmando,Famous bakery and breakfast spot in Old Montreal.,351 Rue Saint-Paul O Montréal QC H2Y 2A7,[23],"45.5032° N, 73.5562° W",ChIJL2JvUu0ayUwRLFh7u104L1Y
Berlin,A0044,Germany,Central Europe,Visits,Explore abandoned NSA spy station,Teufelsberg,Abandoned NSA spy station with graffiti galleries; guided tours available.,Teufelsseechaussee 10 14193 Berlin,,,
Budapest,A0064,Hungary,Central Europe,Nightlife,Explore Central Park,Szimpla Kert,The original and most famous ruin bar.,Kazinczy u. 14 1075 Budapest,,,
Dublin,A0090,Ireland,Western Europe,Museum,Explore Europe's best digital museum,EPIC The Irish Emigration Museum,Interactive digital museum voted Europe's best; updated genealogy center.,The Chq Building Custom House Quay Dublin 1,,,ChIJ9z6M7B-2oRMR8P93sWjI_6s
Berlin,A0042,Germany,Central Europe,Museum,Explore Fotografiska Photography Museum Berlin,Fotografiska Berlin,New outpost of the photography museum in Tacheles; opened late 2024.,Oranienburger Str. 54 10117 Berlin,,,ChIJA2c53bFUqEcR_Q7M0_vO-gU
Madrid,A0158,Spain,Southern Europe,Attraction,Explore immersive art installations,Ikono,Immersive art experience designed for sensory engagement and photography.,C. de Sánchez Bustillo 7 28012 Madrid[3],,,ChIJL047H90qQg0R5-Q3c89E-9k
Budapest,A0056,Hungary,Central Europe,Museum,Explore immersive light art museum,Light Art Museum (LAM),New immersive space in a heritage market hall; digital art installations.,Hold u. 13 1054 Budapest[10],,,
London,A0139,UK,Western Europe,Museum,See Expressionists at Tate Modern.,Tate Modern,Presenting 'Expressionists' – a landmark show on the Blue Rider group.,Bankside London SE1 9TG,,"51.5076 N, 0.0993 W",ChIJq3L9y_4EdkgR_d93l9T2X0Y
London,A0140,UK,Western Europe,Visits,Sky Garden,Sky Garden,Free panoramic views; book the sunrise yoga sessions for a unique perspective.,1 Sky Garden Walk London EC3M 8AF,,"51.51351 N, 0.08332 W",ChIJxY2lE0cZdkgR6F0tY6J2Hq0
Dakar,A0078,Senegal,Emerging & Eastern,Museum,Explore massive pan-African museum,Museum of Black Civilisations,Massive pan-African museum; '2025 Return of Artifacts' exhibition.,Autoroute prolongée Dakar[19],,"14.6757° N, 17.4320° W",ChIJq55mJt9WVkYRW17rYl5YhBw
Budapest,A0055,Hungary,Central Europe,Museum,Explore music and sound dome.,House of Music Hungary,Award-winning architecture in City Park; interactive sound exhibitions 2025.,Olof Palme stny. 3 1146 Budapest[10],,,ChIJq55mJt9WVkYRW17rYl5YhBw
Amsterdam,A0003,Netherlands,Western Europe,Visits,Explore NDSM street art village,NDSM Wharf,Explore the street art museum and shipping container village via free ferry.,NDSM-Plein 28 1033 WB Amsterdam,,"52.40176 N, 4.89029 E",Generating formulas is not supported. Please use the Gemini side panel instead.
Madrid,A0155,Spain,Southern Europe,Museum,Explore Spanish art museum,Reina Sofia,2025 Special Exhibition on 'Art in the Age of Jazz' featuring 1920s avant-garde.,C. de Santa Isabel 52 28012 Madrid,,,
Madrid,A0156,Spain,Southern Europe,Visits,Explore Spanish art museum,Temple of Debod,Ancient Egyptian temple gifted to Spain; stunning at sunset.,C. de Ferraz 1 28008 Madrid[3],,,ChIJL015uVFUUEYROK70z9T6f0U
Stockholm,A0283,Sweden,Central Europe,Visits,Explore Stockholm Subway Art,Skinnarviksberget,The highest natural point in central Stockholm; perfect for picnics.,Södermalm Stockholm,,,ChIJ9e80e-i9oRMRbLdJq9i8uD8
Dublin,A0094,Ireland,Western Europe,Attraction,Explore the area.,The Blind Pig,Underground speakeasy experience; access via a secret vending machine door.,18 Suffolk St Dublin 2,,,
Marrakech,A0169,Morocco,Emerging & Eastern,Attraction,Explore the industrial zone.,Sidi Ghanem,The industrial zone turned design district; visit LRNCE studio.,Quartier Industriel Sidi Ghanem 40000 Marrakech,,,ChIJTz5L0N_mqg0R7bF1D4rJ7jU
Dublin,A0091,Ireland,Western Europe,Visits,Explore the Iveagh Gardens maze,Iveagh Gardens,The 'Secret Garden' of Dublin; explore the maze and rosette fountain.,Clonmel St Saint Kevin's Dublin 2,,,
Lisbon,A0130,Portugal,Southern Europe,Visits,Explore the LX Factory complex,LX Factory,Industrial complex turned creative hub; street art and concept stores.,R. Rodrigues de Faria 103 1300-501 Lisboa,,,ChIJ9e80e-i9oRMRbLdJq9i8uD8
Marrakech,A0168,Morocco,Emerging & Eastern,Visits,Explore the main Marrakech souk,Souk Semmarine,The main artery of the souks; navigate the chaos for leather and lamps.,Souk Semmarine Medina 40000 Marrakech,,,ChIJq52oWqOprw0Rz7K-Y53vH4U
Moscow,A0216,Russia,Emerging & Eastern,Visits,Explore VDNKh Soviet Exhibition Park,VDNKh,Soviet-era exhibition center; renting bikes to see the grand pavilions.,Prospekt Mira 119 129223 Moscow[20],,,
Barcelona,A0034,Spain,Southern Europe,Attraction,Find world's best bar,Paradiso,Speakeasy hidden behind a fridge door; consistently voted world's best bar.,Carrer de Rera Palau 4 08003 Barcelona,,"41.38318 N, 2.18567 E",
Berlin,A0046,Germany,Central Europe,Attraction,Float in the Liquidrom's thermal pool,Liquidrom,Minimalist spa with underwater techno music in a saltwater pool.,Möckernstraße 10 10963 Berlin,,"52.50278 N, 13.38500 E",
Montreal,A0206,Canada,Americas,Attraction,Floating spa experience on water,Bota Bota,Floating spa on a converted ferry boat in the Old Port; silence policy.,Old Port of Montreal Montreal QC H2Y 2E2[16],,,ChIJq55mJt9WVkYRW17rYl5YhBw
Montreal,A0207,Canada,Americas,Hotel,Floating spa experience on water,Honeyrose Hotel,Art Deco-inspired luxury in the Quartier des Spectacles; opened 2024.,355 Maisonneuve Blvd W Montreal QC H3A 1L6,,,
Budapest,A0062,Hungary,Central Europe,Hotel,"Generating a new row based on the preceding context of Budapest, Hungary, Central Europe:
Discover Opulent Drechsler Palace",W Budapest,Opened recently in the Drechsler Palace opposite the Opera; bold design.,Andrássy út 25 1061 Budapest,,,ChIJ9e80e-i9oRMRbLdJq9i8uD8
New York City,A0232,USA,Americas,Restaurants,Glamour and celebrity spotting,Pitt's,Southern comfort food in Red Hook.,Red Hook Brooklyn,[20],,Generating formulas is not supported. Please use the Gemini side panel instead.
New York City,A0233,USA,Americas,Restaurants,Caribbean daiquiris and wine bar.,Kabawa,Caribbean tasting counter in East Village.,East Village NY,[20],,ChIJEb6Yy_xYwokR5w_T1jS8648
Milan,A0199,Italy,Southern Europe,Restaurants,Razdora,Razdora,Fresh pasta workshop and bottega.,Corso di Porta Vigentina 38 20122 Milano,[12],,
Milan,A0200,Italy,Southern Europe,Bar,Celeste,Celeste,Bar in Mercato Isola known for Bloody Marys.,Piazzale Lagosta 7 20159 Milano,[12],,
Madrid,A0159,Spain,Southern Europe,Attraction,Hidden club night experience.,Medias Puri,A clandestine club hidden beneath a haberdashery; theatrical nightlife.,Pl. de Tirso de Molina 1 28012 Madrid[3],,"40.4124 N, 3.7029 W - north or west",
Madrid,A0160,Spain,Southern Europe,Hotel,Swim in Madrid's biggest rooftop pool.,The Madrid EDITION,Minimalist luxury near Sol; features the city's biggest rooftop pool.,Pl. de Celenque 2 28013 Madrid,,"40.4182 N, 3.7052 W",ChIJC4-d1g4_Qg0Ro80Xf41f71A
Montreal,A0203,Canada,Americas,Visits,Hike Mount Royal Park,Mount Royal Chalet,Hike up for the best view of the skyline; Kondiaronk Belvedere.,1196 Voie Camillien-Houde Montreal QC H3H 1A1[16],,"45.50373 N, 73.58784 W",
Copenhagen,A0068,Denmark,Central Europe,Visits,Hike the CopenHill roof,CopenHill,Ski slope built on top of a waste-to-energy power plant; hike the roof.,Vindmøllevej 6 2300 København,,,Generating formulas is not supported. Please use the Gemini side panel instead.
Copenhagen,A0069,Denmark,Central Europe,Visits,Captain your own GoBoat Tour,GoBoat Canal Tour,Rent a solar-powered boat and captain it yourself through the canals.,Islands Brygge 10 2300 København,,,"=AI(""find the google_place_id of GoBoat Canal Tour, Copenhagen."")"
New York City,A0226,USA,Americas,Visits,Little Island,Little Island,Floating park on the Hudson; check 2025 schedule for amphitheater shows.,Pier 55 Hudson River Park NY 10014,,"40.74100 N, 74.00940 W","=AI(""find the google_place_id of Little Island, New York City."")"
Berlin,A0054,Germany,Central Europe,Restaurants,Burgermeister,Burgermeister,Iconic burger spot in a former public toilet.,Oberbaumstraße 8 10997 Berlin,[16][6],,Generating formulas is not supported. Please use the Gemini side panel instead.
Miami,A0176,USA,Americas,Museum,Rubell Museum,Rubell Museum,New 'Superblue' immersive art center adjacent; 2025 contemporary installations.,1100 NW 23rd St Miami FL 33127,,,ChIJL27qsLmw2YgRz5x9q6vF_6A
Miami,A0177,USA,Americas,Museum,Pérez Art Museum (PAMM),Pérez Art Museum (PAMM),2025 Latin American Modernism retrospective; waterfront sculpture garden.,1103 Biscayne Blvd Miami FL 33132,,,ChIJ9e80e-i9oRMRbLdJq9i8uD8
Madrid,A0161,Spain,Southern Europe,Hotel,Thompson Madrid,Thompson Madrid,Hyatt's new lifestyle brand debut; mid-century design and rooftop terrace.,Pl. del Carmen 28013 Madrid,,,ChIJL098MHJ_PA0R_m-tB-Q5v74
London,A0148,UK,Western Europe,Restaurants,Sune,Sune,Modern European small plates and wine in Dalston.,129A Pritchard’s Rd London E2 9AP,[2],,ChIJF9s5QeNydkgR64D7U-D9eJk
London,A0149,UK,Western Europe,Restaurants,Speedboat Bar,Speedboat Bar,Thai spot in Chinatown known for spicy flavors and late-night vibes.,30 Rupert St London W1D 6DL,[2],,ChIJL0vXQf8DdkgRXq3gC3Y6-X8
Moscow,A0213,Russia,Emerging & Eastern,Museum,I need the full Establishment and Description details for row 214 to generate the requested title.,Garage Museum,Contemporary art in Gorky Park; 2025 focus on Russian avant-garde.,Krymsky Val 9 32 119049 Moscow[20],,"55.72786 N, 37.60159 E",ChIJUW3p-n1uKkER7N1Lq99sQpE
Budapest,A0061,Hungary,Central Europe,Hotel,Information needed to describe activity is missing.,Matild Palace,Newly restored UNESCO site; luxury collection with Spago restaurant.,Váci u 36 1056 Budapest,,"47.49397 N, 19.05206 E",
Amsterdam,A0014,Netherlands,Western Europe,Wine Bar,Intimate wine room experience,Vermeers Wijnkamer,Intimate wine room attached to Restaurant Vermeer.,Prins Hendrikkade 59-72 1012 AD Amsterdam,[3][4],,
London,A0153,UK,Western Europe,Bakery,Kandinsky blockbuster at H'ART Museum,Dusty Knuckle Bakery,Cult bakery in Dalston known for sandwiches and sourdough.,Abbot St London E8 3DP,[2],,ChIJq55mJt9WVkYRW17rYl5YhBw
Athens,A0023,Greece,Southern Europe,Hotel,Luxury beachfront resort stay.,One&Only Aesthesis,Ultra-luxury beachfront resort on the Athenian Riviera; opened late 2024.,Leof. Poseidonos 110 166 74 Glyfada[6],,"37.8427 N, 23.7744 E","=AI(""find the google_place_id of One&Only Aesthesis, Athens."")"
Marrakech,A0173,Morocco,Emerging & Eastern,Restaurants,Luxury Riad Stay and Rooftop Views,+61,Modern Australian dining in Gueliz.,96 Rue Mohammed el Beqal Marrakech 40000,[25],"31.620 N, 8.030 W",
Istanbul,A0119,Turkey,Emerging & Eastern,Attraction,Luxury Turkish bath experience.,Kılıç Ali Paşa Hamam,Luxury 16th-century hamam restoration; best for first-timers.,Kemankeş Karamustafa Paşa Hamam Sk. No:1 34425 İstanbul[17],,,
Istanbul,A0120,Turkey,Emerging & Eastern,Attraction,Luxury Turkish bath experience.,Whirling Dervishes at Hodjapasha,Cultural performance in a converted 550-year-old bathhouse.,Hoca Paşa Ankara Cd. No:6 34110 Fatih/İstanbul[17],,,
Budapest,A0063,Hungary,Central Europe,Restaurants,Missing establishment or description data.,Mazel Tov,Upscale ruin bar with Israeli cuisine.,Akácfa u. 47 1072 Budapest,,"47.49845 N, 19.06649 E",
Paris,A0241,France,Western Europe,Attraction,Montmartre Village Visit,Dior Galerie,The immersive fashion museum with new 2025 scenography featuring 100 new dresses.,30 Av. Montaigne 75008 Paris,,,ChIJq7U9i7Pu3kcRY0r26wQf2hI
Athens,A0028,Greece,Southern Europe,Bar,Natural French-Greek wine bar.,Wine is Fine!,Natural wine bar with French-Greek influence.,Vissis 6 10551 Athens,[13],,ChIJ99p8G7DXxkcRY9h991873pU
Lisbon,A0133,Portugal,Southern Europe,Hotel,New 2025 Locke hotel stay,Locke de Santa Joana,New 2024 opening; convent converted into stylish aparthotel with pool.,R. de Santa Marta 45 1150-293 Lisboa,,"38.72397 N, 9.14187 W",ChIJ9e80e-i9oRMRbLdJq9i8uD8
Lisbon,A0134,Portugal,Southern Europe,Hotel,New 2025 Locke hotel stay,The Ivens,Explorer-themed luxury hotel in Chiado; vibrant jungle decor.,R. Capelo 5 1200-224 Lisboa,,,ChIJq5Q159p1GQ0RRzL7t8-o6Xg
Paris,A0244,France,Western Europe,Hotel,New luxury Paris hotel 2025,Le Grand Mazarin,Eclectic flamboyant luxury in the Marais with a pool; the place to be seen.,17 Rue de la Verrerie 75004 Paris,,"48.85740 N, 2.35590 E",
Budapest,A0059,Hungary,Central Europe,Attraction,Nighttime Sparty bath parties,Szechenyi Baths (Sparties),Nighttime 'Sparty' bath parties with laser shows and electronic music.,Állatkerti krt. 9-11 1146 Budapest[11],,,ChIJF7s5p-yLryMR7H013x2M9gM
Copenhagen,A0072,Denmark,Central Europe,Hotel,Outdoor food and harbor views.,Villa Copenhagen,New grand dame in the old Post Office; rooftop pool and sustainable luxury.,Tietgensgade 35-39 1704 København,,,ChIJL48b9PcUUEYR8H7vM0iQ60o
Rome,A0271,Italy,Southern Europe,Attraction,Peep through the secret keyhole,QC Termeroma,Luxury spa in ancient Trajan baths; sensory pools and wellness buffet.,Via Portuense 2178/a 00054 Fiumicino RM,,,ChIJF9oQJ6zYxkcRIz3W-015s4o
Amsterdam,A0006,Netherlands,Western Europe,Attraction,Play retro arcade games,TonTon Club,Retro arcade hall with Japanese food and craft beers.,Polonceaukade 27 1014 DA Amsterdam,,,ChIJ9112vDVMc0YRSz-HjWJdJ_w
Budapest,A0060,Hungary,Central Europe,Attraction,Play vintage pinball machines,Flipper Múzeum,Europe's largest pinball museum; playable vintage machines.,Radnóti Miklós u. 18 1137 Budapest[11],,,ChIJq55mJt9WVkYRW17rYl5YhBw
Milan,A0197,Italy,Southern Europe,Restaurants,Trippa,Trippa,Bold flavors and fried tripe in a trendy trattoria.,Via Giorgio Vasari 1 20135 Milano,[12],,ChIJL6bXbC-NhkcREw6P8o7kY7U
New York City,A0234,USA,Americas,Restaurants,Theodora,Theodora,Live fire and dry-aged fish in Fort Greene.,7 Greene Ave Brooklyn NY 11238,[20],,ChIJT03F_MhZwokR3F_B_0k64dE
New York City,A0235,USA,Americas,Restaurants,Tatiana by Kwame Onwuachi,Tatiana by Kwame Onwuachi,Afro-Caribbean cuisine in Lincoln Center.,10 Lincoln Center Plaza NY 10023,[20],,ChIJq5m3WqBZwokR4k5e8P610R0
Dublin,A0097,Ireland,Western Europe,Restaurants,Library Street,Library Street,Elevated sharing plates in a communal dining format.,101 Setanta Pl Dublin 2,[6][7],,
Edinburgh,A0110,UK,Western Europe,Restaurants,The Palmerston,The Palmerston,Inventive cooking and pastries in a grand former bank.,1 Palmerston Pl Edinburgh EH12 5AF,[8][9],,ChIJq5r4b5bHh0gRA5X1E9lF9sU
Edinburgh,A0111,UK,Western Europe,Restaurants,Elegant dining experience in Leith.,Eleanore,High-impact elegant flavors in Leith.,30-31 Albert Pl Edinburgh EH7 5HN,[8][9],,
Miami,A0184,USA,Americas,Restaurants,Daniel's Miami,Daniel's Miami,High-end steakhouse in Coral Gables.,1500 San Ignacio Ave Coral Gables FL 33146,[21],,ChIJF9oQfN2_2YgRz5y-f3dY1u4
Dakar,A0088,Senegal,Emerging & Eastern,Hotel,Boma Lifestyle Hotel,Boma Lifestyle Hotel,Peaceful escape with boutique and pool.,NGA 100 Route de l'Aeroport Dakar,[26],,ChIJq7U-z-W3uQ0RNW5gYt7XvC8
Dublin,A0089,Ireland,Western Europe,Museum,See Francis Bacon's Studio Archives,Hugh Lane Gallery,New Francis Bacon studio archives display for 2025.,Charlemont House Parnell Square N Dublin 1,,,
Marrakech,A0175,Morocco,Emerging & Eastern,Hotel,Kitula,Kitula,Lush riad resembling a greenhouse.,41 Derb Fhal Zefriti Marrakech,[25],,
Prague,A0264,Czech Republic,Central Europe,Restaurants,Savor modern Czech cuisine.,Výčep,Modern Czech pub food in Vinohrady.,Korunní 92 101 00 Praha 10,[17],,
Toronto,A0292,Canada,Americas,Museum,See KAWS art exhibition.,AGO (Art Gallery of Ontario),Hosting 'KAWS: FAMILY' exhibition in 2025; contemporary pop art.,317 Dundas St W Toronto ON M5T 1G4,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Toronto,A0297,Canada,Americas,Attraction,See Kandinsky blockbuster in 2025.,Othership,Social bathhouse with guided sauna sessions and ice baths.,425 Adelaide St W Toronto ON M5V 3C1[15],,"43.64556 N, 79.39700 W",
Toronto,A0300,Canada,Americas,Restaurants,Dine on Michelin Italian cuisine.,Osteria Giulia,Michelin-starred Italian by Rob Rossi.,134 Avenue Rd Toronto ON M5R 2H6,[22],"43.67389 N, 79.39861 W",ChIJq55mJt9WVkYRW17rYl5YhBw
Vienna,A0308,Austria,Central Europe,Attraction,Thermalbad Vöslau,Thermalbad Vöslau,Day trip to historic mineral baths; 'Sommerfrische' atmosphere.,Maital 2 2540 Bad Vöslau,,,ChIJq55mJt9WVkYRW17rYl5YhBw
Vienna,A0312,Austria,Central Europe,Restaurants,Mraz und Sohn,Mraz und Sohn,Family-run avant-garde fine dining.,Wallensteinstraße 59 1200 Wien,[5],"48.2323 N, 16.3765 E",ChIJ9X08r-5Za0YREv960u7rKj0
Dakar,A0085,Senegal,Emerging & Eastern,Hotel,Relax at Terrou-Bi private beach.,Terrou-Bi,Luxury resort feeling near the city; renovated rooms and private beach.,Boulevard Martin Luther King Dakar[19],,,"=AI(""find the google_place_id of Terrou-Bi, Dakar."")"
Dakar,A0086,Senegal,Emerging & Eastern,Restaurants,Dinner and dancing at Seven Seven.,Seven Seven,Trendy steakhouse with lively DJ atmosphere.,Almadies Dakar,[26],,ChIJA2n_m_3NRA0RzV4y2Jp8X1U
Toronto,A0302,Canada,Americas,Restaurants,Aburi Hana,Aburi Hana,Kyoto-style Kaiseki dining in Yorkville.,102 Yorkville Ave Toronto ON M5R 1B9,[22],,
